comment,sentiment_score,sentiment
"its been two days since i am trying to understand this concept, watched a lot of videos and read a lot of blogs and articles even but still was unable to grasp all the details i was looking for, but your video helped a lot. Best explaination i would say 
keep up the good work brother","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.8922}",Positive
Best video ever in explaining Haar Features!,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.6696}",Positive
Hats off to this explanation🐐,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
I am a Master's student and this explanation was perfect for understanding. Deep dive is really helpful. You are doing a great job! 👌👌👌,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.9039}",Positive
Bro thanks for this discription it really helps me. Please make more videos like this.,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.8789}",Positive
In which file we can store dataframe??,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Great video man!,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}",Positive
Thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",Positive
Today's best facedection algorithm?,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",Positive
very detailed！ good job!,"{'neg': 0.0, 'neu': 0.464, 'pos': 0.536, 'compound': 0.5378}",Positive
This is some awesome work!,"{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.6588}",Positive
Good work.,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",Positive
"🙏Good explanation of haar features.
Could you explain the frontal classifier XML file. What is inside it?","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
Awesome explanation sir thank you so much,"{'neg': 0.0, 'neu': 0.431, 'pos': 0.569, 'compound': 0.765}",Positive
U have gift of explaining things. Keep it up,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",Positive
i have watched so many videos on haar cascade.... but i found this video gave a clear explanation....,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}",Positive
"Sir plz make a video on integral image, adaboost and cascading","{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.0772}",Positive
Hi best explanation.Could you please share a  PPT.,"{'neg': 0.0, 'neu': 0.315, 'pos': 0.685, 'compound': 0.8271}",Positive
"Best Explanation on Haar Features so far on the internet. Absolutely Jem.
Keep Up The Good Work.
Hope to see more videos from you.","{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.875}",Positive
"Bro please do video on integral image ,adaboost and cascading. Nice video","{'neg': 0.0, 'neu': 0.662, 'pos': 0.338, 'compound': 0.6249}",Positive
Clear explanation,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.3818}",Positive
