Timestamp,Username,VideoID,Comment,Date
2024-02-04T12:38:18Z,@snookydru2589,q2oDd5kX3Wo,"its been two days since i am trying to understand this concept, watched a lot of videos and read a lot of blogs and articles even but still was unable to grasp all the details i was looking for, but your video helped a lot. Best explaination i would say 
keep up the good work brother",2024-02-04T12:38:18Z
2023-10-11T10:10:42Z,@marcellobenedetti3860,q2oDd5kX3Wo,Best video ever in explaining Haar Features!,2023-10-11T10:10:42Z
2023-06-04T19:20:03Z,@talharashid7703,q2oDd5kX3Wo,Hats off to this explanation🐐,2023-06-04T19:20:03Z
2023-04-11T00:25:20Z,@swathivyas3271,q2oDd5kX3Wo,I am a Master's student and this explanation was perfect for understanding. Deep dive is really helpful. You are doing a great job! 👌👌👌,2023-04-11T00:25:20Z
2023-03-08T17:30:44Z,@avinashjadhav7405,q2oDd5kX3Wo,Bro thanks for this discription it really helps me. Please make more videos like this.,2023-03-08T17:30:44Z
2023-02-16T03:19:14Z,@moshfequrrahman1465,q2oDd5kX3Wo,In which file we can store dataframe??,2023-02-16T03:19:14Z
2022-10-05T21:27:05Z,@IMPARTIAL92,q2oDd5kX3Wo,Great video man!,2022-10-05T21:27:05Z
2022-06-16T16:45:03Z,@fethisert5527,q2oDd5kX3Wo,Thanks,2022-06-16T16:45:03Z
2022-03-16T01:03:48Z,@sghchannel4443,q2oDd5kX3Wo,Today's best facedection algorithm?,2022-03-16T01:03:48Z
2021-12-12T07:38:15Z,@keweml3544,q2oDd5kX3Wo,very detailed！ good job!,2021-12-12T07:38:15Z
2021-12-08T05:25:40Z,@abudujana2244,q2oDd5kX3Wo,This is some awesome work!,2021-12-08T05:25:40Z
2021-06-14T14:58:06Z,@isharawat8276,q2oDd5kX3Wo,Good work.,2021-06-14T14:58:06Z
2021-03-18T14:28:00Z,@studentworld7601,q2oDd5kX3Wo,"🙏Good explanation of haar features.
Could you explain the frontal classifier XML file. What is inside it?",2021-03-18T14:28:00Z
2021-01-29T16:28:22Z,@deepareddy-4315,q2oDd5kX3Wo,Awesome explanation sir thank you so much,2021-01-29T16:28:22Z
2020-12-20T20:40:09Z,@danbahadurgurung8593,q2oDd5kX3Wo,U have gift of explaining things. Keep it up,2020-12-20T20:40:09Z
2020-12-05T14:57:16Z,@wattahsmile4782,q2oDd5kX3Wo,i have watched so many videos on haar cascade.... but i found this video gave a clear explanation....,2020-12-05T14:57:16Z
2020-12-05T04:01:00Z,@Mr_Rk007,q2oDd5kX3Wo,"Sir plz make a video on integral image, adaboost and cascading",2020-12-05T04:01:00Z
2020-10-29T12:59:14Z,@vigneshm1119,q2oDd5kX3Wo,Hi best explanation.Could you please share a  PPT.,2020-10-29T12:59:14Z
2020-10-07T20:26:20Z,@junaidali9603,q2oDd5kX3Wo,"Best Explanation on Haar Features so far on the internet. Absolutely Jem.
Keep Up The Good Work.
Hope to see more videos from you.",2020-10-07T20:26:20Z
2020-09-18T09:38:31Z,@rahulpahune8,q2oDd5kX3Wo,"Bro please do video on integral image ,adaboost and cascading. Nice video",2020-09-18T09:38:31Z
2020-04-21T15:04:13Z,@zacksadelaoud8343,q2oDd5kX3Wo,Clear explanation,2020-04-21T15:04:13Z
